id_user,timestamp,source,message,category
4844,2024-11-01,livechat,"""What time is it where u are""",other_issues
3985,2024-11-01,livechat,"""What happened to the Cashback piggy?""",game_issues
2578,2024-11-01,livechat,"""Deactivated""",other_issues
1040,2024-11-01,telegram,"""It says access issues detected""",technical_issues
4288,2024-11-01,livechat,"""Im in arizona""",other_issues
1039,2024-11-01,telegram,"""My free signup bonus doesn’t work""",bonus_issues
247,2024-11-01,livechat,"""I don't understand what u mean""",other_issues
4421,2024-11-01,livechat,"""Im in the us""",other_issues
4230,2024-11-01,livechat,"""The bonus of 0.0036... I just added and active but that one isn't showing""",bonus_issues
3713,2024-11-01,livechat,"""Okay hopefully I don't have to bother you anymore I apologize.""",other_issues
4233,2024-11-01,livechat,"""To withdraw my money I am a continuously paying client""",withdrawal_issues
4117,2024-11-01,livechat,"""may I upload the document here, and you can tell me if it’s alright or not?""",other_issues
4468,2024-11-01,livechat,"""Hi can i have my depositing currency changed back to Ethereum please?""",payment_issues
4566,2024-11-01,livechat,"""I am sorry for being so angry but u would be too""",other_issues
3848,2024-11-01,livechat,"""ive depoistioed so much everyday""",deposit_issues
4239,2024-11-01,livechat,"""Making sure its to this address""",other_issues
1050,2024-11-01,telegram,"""So I basically was undermined and signed up and used my last of my BTC balance to get in with u guys""",deposit_issues
1050,2024-11-01,telegram,"""Sorry""",other_issues
1050,2024-11-01,telegram,"""❤️""",other_issues
4105,2024-11-01,livechat,"""It may be that the bonus has been delayed however I want to check as I’ve usually received it by now every week.""",bonus_issues
1053,2024-11-01,telegram,"""I never created another account is it possible someone might have created another account and since it seems that is tr case can you shut it down""",account_issues
4659,2024-11-01,livechat,"""I don’t need bonus and I just want to get my desposit""",withdrawal_issues
5062,2024-11-01,livechat,"""I already deposited too many time even I had lost""",deposit_issues
4485,2024-11-01,livechat,"""hey I just wanted to know the time my account will be reopened""",account_issues
5132,2024-11-01,livechat,"""On my case, i dont huh?""",other_issues
4167,2024-11-01,livechat,"""today about a $100 no deposit bonus""",bonus_issues
1059,2024-11-01,telegram,"""I was playing the game 777 slots it took my whole balance and said I have no funds left for my bet which is not right I still had funds in my account this is rediculas and I am not happy at all""",game_issues
4190,2024-11-01,livechat,"""as a side note; david was completely unprofessional and almost seemed drunk""",other_issues
4227,2024-11-01,livechat,"""Ok. My card is at home and i am at work. I might play some more, and upload details when i have my card with me again.""",deposit_issues
4350,2024-11-01,livechat,"""Then my game was glitched then""",game_issues
4259,2024-11-01,livechat,"""it’s already auto collected the jackpot mania now""",game_issues
57,2024-11-01,telegram,"""It shows pending and there is a cancel option""",payment_issues
4145,2024-11-01,livechat,"""weres my game history""",game_issues
